time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2019-03-27 22:33:51.738 UTC, , , , , , , , , ,589,2898953,224496, , ,8, ,117, , , , , , , , , ,8,8, , , ,1,1,11, ,4, , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581316096,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553726026203,,, , , , , , , , , ,2673867,201711, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,11,38,22396896,2, , , , , , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27, , ,4,76,4, , , , , , , , , 
2019-03-27 22:34:34.465 UTC, , , , , , , , , ,125,2693409,19416, , ,3, ,45,3,0.07, , , , , , , ,3,3, ,2, ,2,1,4, ,39,16, , , , , , , , , , , , , ,223359,2, ,219217, , , , ,223409,13581078528,84,84,84,84, , , , , ,15,103, , , , , , , , , , , , , , , , , , , , , , , , , ,223409,1553726073794,,, , , , , , , , , ,2673867,223359, , , , , , ,24, , ,2, , ,3, , ,24, ,2048,1, , , , , ,568460,63, , , , , , ,2,192,39,120,17355408,2, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:34:39.793 UTC, , , , , , , , , ,589,2897833,223376, , ,8, ,222,5,0.02, , , , , , , ,8,8, , , ,2,1,11, ,197,36, , , , , , , , , , , , , ,223359,2, ,219217, , , , ,223409,13581078528,84,84,84,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,223409,1553726073794,,, , , , , , , , , ,2673867,364934, , , , , , ,46, , ,1, , ,3, , ,46,1, , , , , , , ,207009,47, , , , , , ,1,147,13,82,18855768,2, , , , , , ,252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,183,1,24, , , , , , , , , 
2019-03-27 22:36:38.508 UTC, , , , , , , , , ,125,2693433,19440, , ,3, ,33,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,32,17, , , , , , , , , , , , , ,385135,3, ,382444, , , , ,385185,13580947456,49,49,49,49, , , , , ,19,137, , , , , , , , , , , , , , , , , , , , , , , , , ,385185,1553726197522,,, , , , , , , , , ,2673867,385135, , , , , , ,25, , ,2, , ,3, , ,25, ,2048,1, , , , , ,871724,72, , , , , , ,2,217,44,211,17837968,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:36:43.965 UTC, , , , , , , , , ,589,2897857,223400, , ,8, ,222,5,0.02, , , , , , , ,8,8, , , ,2,1,11, ,197,36, , , , , , , , , , , , , ,385135,3, ,382444, , , , ,385185,13580947456,49,49,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,385185,1553726197522,,, , , , , , , , , ,2673867,526712, , , , , , ,46, , ,1, , ,3, , ,46,1, , , , , , , ,207081,47, , , , , , ,1,136,14,55,21466696,2, , , , , , ,252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,183,1,24, , , , , , , , , 
2019-03-27 22:37:55.451 UTC, , , , , , , , , ,125,2693457,19464, , ,3, ,33,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,34,18, , , , , , , , , , , , , ,547166,4, ,544222, , , , ,547216,13580914688,35,35,35,35, , , , , ,24,174, , , , , , , , , , , , , , , , , , , , , , , , , ,547216,1553726274788,,, , , , , , , , , ,2673867,547166, , , , , , ,26, , ,2, , ,3, , ,26, ,2048,1, , , , , ,1250754,83, , , , , , ,2,191,43,148,16418720,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:38:00.544 UTC, , , , , , , , , ,589,2897881,223424, , ,8, ,222,5,0.02, , , , , , , ,8,8, , , ,2,1,11, ,197,36, , , , , , , , , , , , , ,547166,4, ,544222, , , , ,547216,13580914688,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,547216,1553726274788,,, , , , , , , , , ,2673867,688743, , , , , , ,46, , ,1, , ,3, , ,46,1, , , , , , , ,207083,47, , , , , , ,1,118,16,80,18646480,2, , , , , , ,252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,183,1,24, , , , , , , , , 
2019-03-27 22:38:55.987 UTC, , , , , , , , , ,125,2693481,19488, , ,3,1,33,3,0.09, , , , , , , ,3,3, ,2,1,2,1,4, ,36,19, , , , , , , , , , , , , ,708933,5, ,706253, , , , ,708983,13580746752,27,27,27,27, , , , , ,28,208, , , , , , , , , , , , , , , , , , , , , , , , , ,708983,1553726335084,,, , , , , , , , , ,2673867,708933, , , , , , ,28, , ,2, , ,3, , ,28, ,2048,1, , , , , ,1556040,93, , , , , , ,2,221,42,134,14941872,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:39:01.327 UTC, , , , , , , , , ,589,2897905,223448, , ,8, ,222,5,0.02, , , , , , , ,8,8, , , ,2,1,11, ,197,36, , , , , , , , , , , , , ,708933,5, ,706253, , , , ,708983,13580746752,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,708983,1553726335084,,, , , , , , , , , ,2673867,850510, , , , , , ,46, , ,1, , ,3, , ,46,1, , , , , , , ,207083,47, , , , , , ,1,141,11,36,21541416,2, , , , , , ,252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,183,1,24, , , , , , , , , 
2019-03-27 22:39:17.799 UTC, , , , , , , , , ,125,2693505,19512, , ,3, ,33,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,38,20, , , , , , , , , , , , , ,871001,6, ,868020, , , , ,871051,13580587008,22,22,22,22, , , , , ,32,245, , , , , , , , , , , , , , , , , , , , , , , , , ,871051,1553726357153,,, , , , , , , , , ,2673867,871001, , , , , , ,28, , ,2, , ,3, , ,28, ,2048,1, , , , , ,1857252,101, , , , , , ,2,160,39,110,18808024,2, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
